#,File Number,Trade Name,Corp Name,Business Status,Address,City,State,Zip,Mail Address,Mail City,Mail State,Mail Zip,County,Permit Number,Issue Date,Permit Status
,00130119CM-998,Natty Greenes Brewing Company,Hamburger Square Brewhouse Inc,Active,1918 West Gate City Blvd,Greensboro,,27403,,,,,Guilford,00154083BW,8/20/2007,Active
,00130119CM-998,Natty Greenes Brewing Company,Hamburger Square Brewhouse Inc,Active,1918 West Gate City Blvd,Greensboro,,27403,,,,,Guilford,00130119DG,6/15/2010,Active
91,00130400CM-999,Pisgah Brewing Company,Pisgah Brewing Company,Active,150 Eastside Business Park Unit 150,Black Mountain,,28711,,,,,Buncombe,00130400DG,9/9/2010,Active
,00130400CM-999,Pisgah Brewing Company,Pisgah Brewing Company,Active,150 Eastside Business Park Unit 150,Black Mountain,,28711,,,,,Buncombe,00130400BM,12/2/2004,Active
,00130400CM-999,Pisgah Brewing Company,Pisgah Brewing Company,Active,150 Eastside Business Park Unit 150,Black Mountain,,28711,,,,,Buncombe,00130400BW,12/2/2004,Active
92,00130968CM-999,Duck Rabbit Craft Brewery,Duck Rabbit Craft Brewery Inc,Active,4519 West Pine Street,Farmville,,27828,,,,,Pitt,00130968DG,8/11/2011,Active
,00130968CM-999,Duck Rabbit Craft Brewery,Duck Rabbit Craft Brewery Inc,Active,4519 West Pine Street,Farmville,,27828,,,,,Pitt,00130968BW,11/1/2004,Active
,00130968CM-999,Duck Rabbit Craft Brewery,Duck Rabbit Craft Brewery Inc,Active,4519 West Pine Street,Farmville,,27828,,,,,Pitt,00130968BM,11/1/2004,Active
93,00131989CM-999,Buck Shoals Vineyard,Buck Shoals Vineyards and Winery Inc,Cancelled,6121 Vintner Way,Hamptonville,,27020,,,,,Yadkin,00131989WW,5/25/2005,Cancelled
,00131989CM-999,Buck Shoals Vineyard,Buck Shoals Vineyards and Winery Inc,Cancelled,6121 Vintner Way,Hamptonville,,27020,,,,,Yadkin,00131989WE,5/25/2005,Cancelled
,00131989CM-999,Buck Shoals Vineyard,Buck Shoals Vineyards and Winery Inc,Cancelled,6121 Vintner Way,Hamptonville,,27020,,,,,Yadkin,00131989DS,5/25/2005,Cancelled
,00131989CM-999,Buck Shoals Vineyard,Buck Shoals Vineyards and Winery Inc,Cancelled,6121 Vintner Way,Hamptonville,,27020,,,,,Yadkin,00131989DI,5/22/2008,Cancelled
,00131989CM-999,Buck Shoals Vineyard,Buck Shoals Vineyards and Winery Inc,Cancelled,6121 Vintner Way,Hamptonville,,27020,,,,,Yadkin,00131989UW,5/25/2005,Cancelled
,00131989CM-999,Buck Shoals Vineyard,Buck Shoals Vineyards and Winery Inc,Cancelled,6121 Vintner Way,Hamptonville,,27020,,,,,Yadkin,00131989FW,5/22/2008,Cancelled
